1, 1320, 80, 43, 4
2, 1280, 240, 43, 3
3, 660, 360, 17, 5
4, 120, 1110, 25, 5
5, 10, 1170, 44, 4
6, 260, 250, 31, 3
7, 1140, 750, 45, 5
8, 130, 250, 16, 4
9, 410, 350, 42, 4
10, 10, 340, 31, 3
11, 340, 310, 42, 4
12, 790, 800, 17, 4
13, 540, 1090, 21, 4
14, 1350, 870, 31, 3
15, 1040, 930, 37, 3
16, 1220, 920, 46, 5
17, 340, 1130, 37, 4
18, 1220, 870, 25, 5
19, 950, 800, 25, 5
20, 1230, 1100, 26, 3
21, 280, 240, 37, 4
22, 560, 1190, 30, 3
23, 1340, 1040, 23, 3
24, 930, 700, 28, 3
25, 1320, 560, 19, 5
26, 120, 70, 23, 4
27, 190, 640, 29, 3
28, 1340, 670, 41, 4
29, 1170, 390, 40, 4
30, 690, 580, 31, 4
31, 1230, 200, 10, 5
32, 1130, 80, 40, 5
33, 1070, 200, 40, 3
34, 220, 300, 48, 3
35, 1110, 440, 28, 4
36, 580, 270, 21, 5
37, 600, 860, 17, 5
38, 290, 1050, 30, 4
39, 1150, 440, 30, 4
40, 70, 930, 15, 3
41, 1050, 170, 21, 4
42, 650, 420, 22, 5
43, 190, 230, 16, 4
44, 1190, 910, 42, 4
45, 1210, 950, 17, 5
46, 940, 1020, 15, 5
47, 90, 920, 26, 3
48, 0, 640, 46, 4
49, 370, 310, 38, 3
50, 240, 60, 34, 5
51, 1080, 930, 36, 5
52, 610, 310, 28, 5
53, 720, 240, 46, 4
54, 1140, 780, 24, 3
55, 490, 1090, 13, 3
56, 560, 500, 47, 5
57, 1040, 1120, 38, 5
58, 260, 1040, 46, 5
59, 810, 470, 25, 5
60, 900, 150, 35, 3
61, 1260, 780, 35, 5
62, 920, 230, 23, 3
63, 1070, 340, 38, 5
64, 520, 510, 40, 4
65, 310, 860, 20, 5
66, 190, 140, 14, 4
67, 690, 270, 21, 5
68, 1430, 300, 41, 5
69, 30, 740, 24, 3
70, 220, 540, 42, 4
71, 240, 600, 46, 4
72, 1120, 500, 32, 4
73, 630, 1160, 28, 3
74, 730, 350, 29, 3
75, 480, 290, 40, 3
76, 1340, 270, 20, 4
77, 380, 220, 11, 3
78, 880, 730, 39, 4
79, 550, 110, 48, 5
80, 830, 670, 46, 4
