1, 690, 1060, 48, 4
2, 800, 340, 10, 4
3, 130, 190, 38, 4
4, 910, 1110, 48, 4
5, 90, 780, 41, 5
6, 970, 1090, 11, 3
7, 240, 970, 29, 4
8, 480, 250, 14, 5
9, 1400, 580, 44, 4
10, 1220, 1020, 13, 3
11, 230, 840, 14, 3
12, 1390, 490, 47, 4
13, 980, 690, 16, 3
14, 340, 60, 22, 5
15, 1050, 780, 31, 4
16, 300, 990, 39, 3
17, 980, 500, 47, 3
18, 510, 1020, 30, 3
19, 1400, 990, 44, 5
20, 870, 1030, 31, 3
21, 1190, 410, 35, 4
22, 610, 900, 45, 3
23, 430, 440, 35, 4
24, 70, 770, 10, 3
25, 1350, 1120, 34, 4
26, 1380, 790, 43, 4
27, 1210, 290, 32, 3
28, 450, 770, 24, 5
29, 1010, 660, 44, 3
30, 1060, 420, 32, 4
31, 370, 540, 34, 5
32, 170, 90, 11, 3
33, 1170, 620, 27, 5
34, 570, 240, 25, 5
35, 520, 1190, 35, 4
36, 1090, 1190, 33, 3
37, 220, 950, 48, 4
38, 40, 780, 44, 4
39, 410, 790, 44, 3
40, 280, 1150, 20, 4
