1, 870, 540, 20, 3
2, 630, 180, 25, 5
3, 1320, 90, 19, 5
4, 230, 780, 14, 3
5, 400, 450, 29, 4
6, 160, 350, 46, 3
7, 850, 1070, 45, 4
8, 370, 640, 44, 5
9, 350, 380, 37, 5
10, 1280, 860, 10, 5
11, 100, 760, 37, 5
12, 1360, 540, 31, 5
13, 920, 560, 48, 3
14, 700, 400, 33, 3
15, 590, 1010, 13, 3
16, 150, 330, 20, 3
17, 800, 790, 10, 3
18, 170, 810, 48, 5
19, 800, 520, 35, 5
20, 1230, 230, 25, 4
21, 180, 610, 33, 5
22, 630, 590, 14, 4
23, 1270, 930, 36, 4
24, 510, 200, 46, 4
25, 250, 430, 31, 5
26, 1070, 950, 31, 3
27, 170, 510, 28, 5
28, 1300, 570, 24, 3
29, 560, 570, 31, 4
30, 1030, 950, 27, 5
31, 920, 730, 37, 3
32, 330, 1000, 14, 4
33, 1030, 60, 32, 3
34, 80, 870, 13, 5
35, 360, 90, 23, 5
36, 620, 870, 20, 4
37, 200, 1030, 23, 4
38, 380, 110, 23, 4
39, 590, 770, 20, 5
40, 1040, 60, 38, 5
41, 650, 1040, 43, 4
42, 460, 100, 30, 5
43, 500, 1160, 45, 5
44, 1140, 250, 39, 5
45, 160, 730, 28, 3
46, 110, 180, 32, 5
47, 500, 1120, 15, 5
48, 610, 380, 32, 3
49, 870, 570, 38, 4
50, 1280, 1160, 33, 3
51, 1310, 1140, 48, 4
52, 180, 880, 11, 5
53, 1420, 950, 41, 3
54, 1070, 150, 35, 5
55, 1330, 380, 18, 5
56, 120, 1040, 14, 4
57, 1410, 450, 25, 5
58, 1340, 1190, 42, 4
59, 500, 590, 36, 5
60, 1370, 1170, 34, 4
61, 140, 710, 21, 3
62, 20, 210, 22, 4
63, 250, 970, 26, 5
64, 820, 500, 40, 4
65, 640, 800, 28, 5
66, 540, 660, 26, 5
67, 760, 1030, 31, 5
68, 760, 1130, 24, 4
69, 760, 790, 46, 4
70, 970, 860, 29, 3
71, 50, 590, 40, 3
72, 1260, 60, 39, 5
73, 800, 810, 47, 3
74, 90, 500, 12, 3
75, 560, 420, 21, 4
76, 1090, 980, 14, 3
77, 1140, 780, 12, 5
78, 600, 650, 10, 4
79, 1060, 570, 30, 4
80, 640, 230, 39, 4
81, 160, 1180, 46, 5
82, 780, 1040, 34, 4
83, 1360, 940, 15, 4
84, 460, 440, 38, 4
85, 50, 350, 32, 4
86, 1430, 300, 16, 4
87, 570, 400, 41, 4
88, 180, 580, 30, 5
89, 1270, 600, 23, 5
90, 1200, 130, 47, 3
91, 500, 490, 26, 4
92, 680, 140, 46, 4
93, 680, 900, 14, 3
94, 1400, 860, 47, 3
95, 730, 870, 14, 3
96, 620, 210, 33, 4
97, 1370, 330, 42, 5
98, 590, 460, 28, 5
99, 890, 710, 35, 3
100, 150, 140, 29, 3
101, 660, 660, 34, 3
102, 1340, 1080, 48, 5
103, 970, 720, 47, 4
104, 770, 840, 17, 3
105, 1080, 550, 27, 4
106, 830, 470, 45, 4
107, 1070, 410, 36, 3
108, 320, 850, 15, 3
109, 290, 580, 39, 4
110, 20, 140, 19, 4
111, 440, 1180, 27, 5
112, 740, 960, 17, 5
113, 200, 200, 28, 4
114, 420, 510, 43, 3
115, 880, 950, 30, 5
116, 200, 400, 32, 4
117, 1120, 850, 38, 3
118, 130, 1030, 27, 4
119, 960, 850, 24, 3
120, 170, 1020, 17, 3
121, 820, 560, 35, 4
122, 790, 1150, 45, 4
123, 1180, 600, 43, 4
124, 1340, 1020, 29, 3
125, 390, 1050, 26, 4
126, 830, 910, 48, 3
127, 260, 900, 42, 4
128, 380, 320, 15, 4
129, 980, 1020, 15, 4
130, 1200, 300, 34, 5
131, 1030, 910, 12, 5
132, 1300, 800, 34, 5
133, 610, 980, 37, 5
134, 60, 520, 14, 3
135, 420, 1080, 35, 5
136, 120, 910, 42, 4
137, 240, 330, 15, 5
138, 1000, 850, 21, 4
139, 1210, 540, 11, 4
140, 370, 550, 45, 5
141, 1140, 1110, 45, 5
142, 1010, 1000, 47, 5
143, 1040, 160, 41, 4
144, 290, 1040, 24, 4
145, 380, 420, 31, 4
146, 1140, 830, 16, 5
147, 1110, 580, 40, 4
148, 1250, 290, 28, 3
149, 1420, 810, 37, 3
150, 1280, 600, 43, 5
151, 1080, 610, 31, 4
152, 1230, 270, 45, 4
153, 880, 960, 48, 3
154, 730, 140, 38, 4
155, 620, 870, 40, 5
156, 1330, 190, 43, 5
157, 100, 480, 47, 3
158, 1070, 300, 24, 5
159, 1260, 1150, 22, 4
160, 670, 890, 38, 5
