port,arrival_time,start_time,id,delay_time
8,690,3060,1,2370
11,800,800,2,0
9,130,130,3,0
8,910,4120,4,3210
2,90,90,5,0
5,970,970,6,0
17,240,240,7,0
11,480,480,8,0
12,1400,1610,9,210
7,1220,1220,10,0
15,230,230,11,0
8,1390,1670,12,280
3,980,980,13,0
10,340,340,14,0
6,1050,1050,15,0
0,300,300,16,0
8,980,1170,17,190
10,510,510,18,0
12,1400,3640,19,2240
9,870,870,20,0
0,1190,1580,21,390
8,610,2160,22,1550
9,430,430,23,0
6,70,70,24,0
4,1350,1480,25,130
12,1380,2850,26,1470
0,1210,1290,27,80
7,450,450,28,0
12,1010,2190,29,1180
4,1060,1060,30,0
4,370,370,31,0
19,170,170,32,0
17,1170,1210,33,40
16,570,570,34,0
2,520,870,35,350
16,1090,1090,36,0
8,220,220,37,0
12,40,40,38,0
12,410,820,39,410
19,280,280,40,0
