port,arrival_time,start_time,id,delay_time
14,1320,1470,1,150
12,1280,1280,2,0
16,660,660,3,0
10,120,120,4,0
12,10,10,5,0
16,260,260,6,0
8,1140,1690,7,550
11,130,130,8,0
13,410,1520,9,1110
2,10,10,10,0
9,340,340,11,0
11,790,790,12,0
3,540,960,13,420
4,1350,2210,14,860
9,1040,1070,15,30
8,1220,2440,16,1220
2,340,680,17,340
17,1220,1820,18,600
6,950,1580,19,630
16,1230,2170,20,940
0,280,280,21,0
9,560,2000,22,1440
3,1340,2050,23,710
4,930,1010,24,80
11,1320,1590,25,270
9,120,120,26,0
6,190,190,27,0
12,1340,2160,28,820
0,1170,1760,29,590
16,690,1590,30,900
5,1230,1230,31,0
12,1130,1180,32,50
13,1070,1320,33,250
14,220,220,34,0
6,1110,1140,35,30
7,580,580,36,0
19,600,600,37,0
6,290,2380,38,2090
16,1150,1150,39,0
17,70,70,40,0
7,1050,1150,41,100
9,650,650,42,0
19,190,190,43,0
12,1190,2830,44,1640
7,1210,1320,45,110
15,940,1170,46,230
4,90,90,47,0
13,0,0,48,0
2,370,370,49,0
9,240,240,50,0
2,1080,2590,51,1510
6,610,830,52,220
8,720,950,53,230
1,1140,1320,54,180
19,490,1460,55,970
8,560,1190,56,630
0,1040,2150,57,1110
8,260,3360,58,3100
17,810,1350,59,540
14,900,1320,60,420
2,1260,1810,61,550
7,920,920,62,0
12,1070,1820,63,750
0,520,520,64,0
15,310,310,65,0
7,190,190,66,0
3,690,690,67,0
12,1430,1520,68,90
1,30,30,69,0
14,220,1550,70,1330
8,240,240,71,0
4,1120,1710,72,590
10,630,1610,73,980
17,730,1000,74,270
14,480,520,75,40
10,1340,1340,76,0
18,380,380,77,0
0,880,1030,78,150
8,550,840,79,290
13,830,2880,80,2050
