port,arrival_time,start_time,id,delay_time
13,690,2090,1,1400
19,800,800,2,0
0,130,130,3,0
14,910,1930,4,1020
2,90,90,5,0
5,970,970,6,0
17,240,240,7,0
15,480,480,8,0
13,1400,1510,9,110
19,1220,1220,10,0
11,230,230,11,0
14,1390,1440,12,50
15,980,980,13,0
3,340,340,14,0
2,1050,1050,15,0
9,300,300,16,0
8,980,1170,17,190
10,510,510,18,0
8,1400,1670,19,270
6,870,870,20,0
9,1190,1580,21,390
13,610,610,22,0
0,430,430,23,0
5,70,70,24,0
4,1350,1480,25,130
12,1380,1670,26,290
9,1210,1290,27,80
7,450,450,28,0
12,1010,1010,29,0
4,1060,1060,30,0
4,370,370,31,0
18,170,170,32,0
17,1170,1210,33,40
6,570,570,34,0
0,520,870,35,350
16,1090,1090,36,0
8,220,220,37,0
12,40,40,38,0
14,410,530,39,120
1,280,290,40,10
